	n_cci_sig_NATMI	ccis_NATMI	ps_NATMI
DCN_EGFR	25	Bcell--Tcell,Bcell--endothelial,Bcell--mesenchymal,Bcell--stroma,Tcell--Tcell,Tcell--endothelial,Tcell--mesenchymal,Tcell--stroma,basal_like_2--endothelial,basal_like_2--mesenchymal,basal_like_2--stroma,endothelial--Tcell,endothelial--endothelial,endothelial--mesenchymal,endothelial--stroma,macrophage--Tcell,macrophage--endothelial,macrophage--mesenchymal,macrophage--stroma,stroma--Bcell,stroma--Tcell,stroma--basal_like_2,stroma--endothelial,stroma--mesenchymal,stroma--stroma	0.016964702105006432,0.018160334398681317,0.021428435368831617,0.02248996055499724,0.01881859256140226,0.02014488269303285,0.02377011938897414,0.02494764728474676,0.015294108373208982,0.0180464084859039,0.01894039429484841,0.02079129368077429,0.02225661514637648,0.02626187539959166,0.0275628402947309,0.020560940925500683,0.02201002767083267,0.025970912487430883,0.02725746361627395,0.02497285567378735,0.03902017569876068,0.022274917200770232,0.041770225884230114,0.049287120272780684,0.05172871335331102
DCN_ERBB4	19	Bcell--luminal_ar,Bcell--mesenchymal,Tcell--luminal_ar,Tcell--mesenchymal,basal_like_2--luminal_ar,basal_like_2--mesenchymal,endothelial--luminal_ar,endothelial--mesenchymal,macrophage--luminal_ar,macrophage--mesenchymal,stroma--Bcell,stroma--Tcell,stroma--basal_like_1,stroma--basal_like_2,stroma--endothelial,stroma--luminal_ar,stroma--macrophage,stroma--mesenchymal,stroma--stroma	0.02339150617582754,0.02240284899025613,0.02594771316323425,0.02485101623080298,0.01969964994100941,0.01886703145458006,0.02866774031910369,0.02745607967410146,0.02835012213375333,0.02715188582743431,0.02736730952765818,0.02285667591040196,0.026281195129729592,0.0243690128905293,0.02427731499151455,0.05380234060049181,0.01571899919634321,0.05152834976657944,0.01758601590331069
DCN_TLR2	21	Bcell--macrophage,Bcell--stroma,Tcell--endothelial,Tcell--macrophage,Tcell--stroma,basal_like_2--macrophage,endothelial--basal_like_2,endothelial--endothelial,endothelial--macrophage,endothelial--stroma,macrophage--endothelial,macrophage--macrophage,macrophage--stroma,stroma--Bcell,stroma--Tcell,stroma--basal_like_1,stroma--basal_like_2,stroma--endothelial,stroma--macrophage,stroma--mesenchymal,stroma--stroma	0.02666935497301754,0.01656302054408089,0.016218845984478158,0.02958376292175006,0.01837301552811884,0.02246015939169754,0.01504654794222401,0.01791902284542608,0.032684947138399284,0.02029900803687312,0.0177204928093624,0.03232282115697156,0.0200741094566112,0.02549856567034161,0.02382281235096378,0.01912931958745919,0.02823869228052488,0.0336296254823809,0.061341655773174984,0.02143327528164912,0.0380962758869484
DCN_TLR4	26	Bcell--Bcell,Bcell--macrophage,Tcell--Bcell,Tcell--basal_like_2,Tcell--endothelial,Tcell--macrophage,Tcell--stroma,basal_like_2--Bcell,basal_like_2--macrophage,endothelial--Bcell,endothelial--basal_like_2,endothelial--endothelial,endothelial--macrophage,endothelial--stroma,macrophage--Bcell,macrophage--basal_like_2,macrophage--endothelial,macrophage--macrophage,macrophage--stroma,stroma--Bcell,stroma--Tcell,stroma--basal_like_1,stroma--basal_like_2,stroma--endothelial,stroma--macrophage,stroma--stroma	0.01923386809640634,0.024604662175512458,0.0213357313818796,0.01546590033458969,0.01631630647173353,0.02729344197887634,0.01610232064446376,0.01619820740326266,0.02072133483543168,0.02357229721656277,0.01708714798117076,0.01802669984657195,0.03015453817231203,0.01779028247562496,0.023311132918884418,0.016897834527296058,0.017826976825873718,0.02982044732358247,0.017593178791348432,0.04423943950463366,0.02404678174334532,0.01796272369664683,0.0320683997183179,0.03383170889132783,0.056592696715483164,0.033388011279518265
DLL1_NOTCH3	21	basal_like_2--endothelial,basal_like_2--stroma,endothelial--Bcell,endothelial--Tcell,endothelial--basal_like_1,endothelial--basal_like_2,endothelial--endothelial,endothelial--luminal_ar,endothelial--macrophage,endothelial--mesenchymal,endothelial--stroma,macrophage--Bcell,macrophage--basal_like_2,macrophage--endothelial,macrophage--stroma,mesenchymal--endothelial,mesenchymal--stroma,stroma--Bcell,stroma--basal_like_2,stroma--endothelial,stroma--stroma	0.01933080476697621,0.018541289979185367,0.02876300760359175,0.02203509137324353,0.01786336458684183,0.02786124486350668,0.04539362687228087,0.0187293055670613,0.01931782008930213,0.020842650016093003,0.04353964613432675,0.018057875615699482,0.01749173456328411,0.02849884403961845,0.02733488531801045,0.01566201269899041,0.015022339866871941,0.01825916757892099,0.0176867157263691,0.02881652195413965,0.02763958853156641
DSC2_DSG2	25	Bcell--basal_like_1,Bcell--luminal_ar,Bcell--mesenchymal,basal_like_1--basal_like_1,basal_like_1--luminal_ar,basal_like_1--mesenchymal,basal_like_2--basal_like_1,basal_like_2--mesenchymal,luminal_ar--basal_like_1,luminal_ar--basal_like_2,luminal_ar--luminal_ar,luminal_ar--macrophage,luminal_ar--mesenchymal,luminal_ar--stroma,macrophage--basal_like_1,macrophage--luminal_ar,macrophage--mesenchymal,mesenchymal--basal_like_1,mesenchymal--basal_like_2,mesenchymal--luminal_ar,mesenchymal--macrophage,mesenchymal--mesenchymal,mesenchymal--stroma,stroma--basal_like_1,stroma--mesenchymal	0.020910566144439268,0.0188075651564616,0.02035411636908792,0.01833137074144021,0.016487762562018168,0.01784355577457145,0.015891732712555017,0.015468838801564641,0.02313346250307916,0.015332701495294991,0.02080690213339461,0.01643094445098639,0.0225178593709583,0.01584063079831706,0.0195888229567666,0.01761875128358261,0.019067546007190142,0.02444529848696742,0.0162021774567542,0.02198680518198473,0.01736269879503256,0.02379478616905549,0.016738910054435983,0.01629551660986901,0.015861877630696408
EBI3_IL6ST	24	Tcell--Bcell,Tcell--Tcell,Tcell--basal_like_1,Tcell--basal_like_2,Tcell--endothelial,Tcell--luminal_ar,Tcell--macrophage,Tcell--mesenchymal,Tcell--stroma,basal_like_2--luminal_ar,endothelial--basal_like_1,endothelial--luminal_ar,endothelial--mesenchymal,macrophage--Bcell,macrophage--Tcell,macrophage--basal_like_1,macrophage--basal_like_2,macrophage--endothelial,macrophage--luminal_ar,macrophage--macrophage,macrophage--mesenchymal,macrophage--stroma,stroma--basal_like_1,stroma--luminal_ar	0.02587591940362285,0.02574292345415226,0.038105599671189865,0.02694347041956023,0.02802853236761401,0.04141314579171653,0.02798148618494262,0.031904241256958565,0.02528384531890807,0.016172030895478633,0.0184747401642004,0.02007833794733774,0.015468135193891482,0.02029837231958649,0.02019404360928091,0.029891948476181686,0.02113581301700247,0.02198699017008665,0.03248655396908851,0.02195008477873869,0.0250272911082335,0.019833919635805268,0.01523243934067988,0.01655460710820396
ECM1_ITGB4	25	Bcell--Bcell,Bcell--basal_like_2,Bcell--endothelial,Bcell--mesenchymal,Bcell--stroma,Tcell--endothelial,basal_like_1--Bcell,basal_like_1--endothelial,basal_like_2--Bcell,basal_like_2--basal_like_2,basal_like_2--endothelial,basal_like_2--mesenchymal,basal_like_2--stroma,endothelial--endothelial,macrophage--Bcell,macrophage--basal_like_2,macrophage--endothelial,macrophage--mesenchymal,macrophage--stroma,mesenchymal--endothelial,stroma--Bcell,stroma--basal_like_2,stroma--endothelial,stroma--mesenchymal,stroma--stroma	0.01756154469480032,0.01565821103975113,0.02398699597101256,0.01679241771977219,0.015311801951367882,0.01748667762504093,0.01567341925335686,0.02140803961245942,0.01953644791644246,0.01741907273870595,0.02668448052854672,0.01868082790408575,0.01703370782744131,0.01942876621898252,0.01741595265515085,0.015528398376790209,0.023788134439799,0.01665320204205385,0.01518486115455583,0.01661211266694005,0.01811833266352814,0.0161546539022811,0.02474750257761744,0.01732482055304855,0.01579726192964582
EFEMP1_EGFR	25	Bcell--endothelial,Bcell--mesenchymal,Bcell--stroma,Tcell--Tcell,Tcell--endothelial,Tcell--mesenchymal,Tcell--stroma,basal_like_2--Tcell,basal_like_2--endothelial,basal_like_2--mesenchymal,basal_like_2--stroma,endothelial--Bcell,endothelial--Tcell,endothelial--basal_like_2,endothelial--endothelial,endothelial--mesenchymal,endothelial--stroma,macrophage--mesenchymal,macrophage--stroma,stroma--Bcell,stroma--Tcell,stroma--basal_like_2,stroma--endothelial,stroma--mesenchymal,stroma--stroma	0.015919687500495532,0.01878456570277339,0.01971511845949405,0.01793053938141536,0.01919424161412966,0.022648402658928,0.02377036277571013,0.01801025716879075,0.019279577723617432,0.02274909570051203,0.02387604396495278,0.017550651646219658,0.0274229555405657,0.01565456979953848,0.029355660932582888,0.03463845264043512,0.03635437773037937,0.017277380294234517,0.018133269864220033,0.02508412776241627,0.03919403873250357,0.022374168027081108,0.04195634237556587,0.049506729951661464,0.05195920209084659
EFNB2_PECAM1	20	Bcell--endothelial,Tcell--endothelial,basal_like_1--endothelial,basal_like_2--endothelial,basal_like_2--stroma,endothelial--Bcell,endothelial--Tcell,endothelial--basal_like_2,endothelial--endothelial,endothelial--macrophage,endothelial--stroma,luminal_ar--endothelial,macrophage--endothelial,mesenchymal--endothelial,stroma--Bcell,stroma--Tcell,stroma--basal_like_2,stroma--endothelial,stroma--macrophage,stroma--stroma	0.028649308411248568,0.027896447033600242,0.02337986122339411,0.04941619808248419,0.016080761108375818,0.01670439691703746,0.01771930621748819,0.02141050714925154,0.08308014304533785,0.01753560856772445,0.02703550627127906,0.04254156027389523,0.03349425875046109,0.042125551920558835,0.01575648285091243,0.01671379972186593,0.02019553836046838,0.07836564562292374,0.01654052624886175,0.02550133914111355
EPCAM_EPCAM	21	Bcell--luminal_ar,basal_like_1--basal_like_1,basal_like_1--basal_like_2,basal_like_1--luminal_ar,basal_like_1--mesenchymal,basal_like_2--basal_like_1,basal_like_2--luminal_ar,basal_like_2--mesenchymal,endothelial--luminal_ar,luminal_ar--Bcell,luminal_ar--basal_like_1,luminal_ar--basal_like_2,luminal_ar--endothelial,luminal_ar--luminal_ar,luminal_ar--mesenchymal,luminal_ar--stroma,mesenchymal--basal_like_1,mesenchymal--basal_like_2,mesenchymal--luminal_ar,mesenchymal--mesenchymal,stroma--luminal_ar	0.0178596629411842,0.02119179676753348,0.01652374303626825,0.02770795333112476,0.020954191894399617,0.01652374303626825,0.0216045437735531,0.0163384769207568,0.01535973979145937,0.0178596629411842,0.02770795333112476,0.0216045437735531,0.01535973979145937,0.03622772935308514,0.02739728855794579,0.01750522117833982,0.020954191894399617,0.0163384769207568,0.02739728855794579,0.0207192510745481,0.01750522117833982
F13A1_ITGB1	36	Tcell--Bcell,Tcell--Tcell,Tcell--basal_like_1,Tcell--basal_like_2,Tcell--endothelial,Tcell--luminal_ar,Tcell--macrophage,Tcell--mesenchymal,Tcell--stroma,endothelial--Bcell,endothelial--Tcell,endothelial--basal_like_1,endothelial--basal_like_2,endothelial--endothelial,endothelial--luminal_ar,endothelial--macrophage,endothelial--mesenchymal,endothelial--stroma,macrophage--Bcell,macrophage--Tcell,macrophage--basal_like_1,macrophage--basal_like_2,macrophage--endothelial,macrophage--luminal_ar,macrophage--macrophage,macrophage--mesenchymal,macrophage--stroma,stroma--Bcell,stroma--Tcell,stroma--basal_like_1,stroma--basal_like_2,stroma--endothelial,stroma--luminal_ar,stroma--macrophage,stroma--mesenchymal,stroma--stroma	0.01637583448339771,0.017618831569372592,0.01651796257118284,0.01603475147450222,0.02315173715218222,0.01704552882677475,0.01917389759482248,0.01584575438331079,0.02096248685773474,0.02110740554573497,0.02270954946166413,0.0212905995802962,0.02066777131513649,0.02984111164867965,0.0219705988145528,0.02471393032438244,0.02042416612635748,0.02701930773677085,0.01755034690575259,0.01888249459470337,0.01770266874609661,0.01718480064086804,0.02481223286077655,0.01826807326400341,0.020549093523488632,0.01698224824465576,0.02246596451212979,0.018825670254936817,0.02025462053482236,0.01898906079954205,0.01843356100019697,0.02661525248669474,0.019595551319183908,0.0220423254758716,0.0182162898179852,0.02409848888661222
FBLN1_ITGB1	25	Bcell--endothelial,Bcell--macrophage,Bcell--stroma,Tcell--endothelial,Tcell--stroma,endothelial--Bcell,endothelial--Tcell,endothelial--basal_like_1,endothelial--basal_like_2,endothelial--endothelial,endothelial--luminal_ar,endothelial--macrophage,endothelial--mesenchymal,endothelial--stroma,macrophage--endothelial,macrophage--stroma,stroma--Bcell,stroma--Tcell,stroma--basal_like_1,stroma--basal_like_2,stroma--endothelial,stroma--luminal_ar,stroma--macrophage,stroma--mesenchymal,stroma--stroma	0.01964552204739756,0.01627010644849702,0.01778782278949174,0.01722065333045343,0.015592251965732532,0.015524407409920431,0.01670277747659285,0.015659145846694818,0.015201058294731002,0.021948011270036642,0.01615928240436695,0.0181769911145534,0.01502188770981087,0.0198725864403739,0.01776403359968574,0.016084249679669132,0.0217131879087156,0.02336131334165895,0.02190163961053963,0.021260936179368542,0.030697551303915188,0.02260115481714349,0.02542321991840685,0.02101033952370493,0.027794761643288
FBN1_ITGA5	22	Bcell--endothelial,Tcell--basal_like_2,Tcell--endothelial,Tcell--stroma,basal_like_1--endothelial,basal_like_2--endothelial,endothelial--Tcell,endothelial--basal_like_2,endothelial--endothelial,endothelial--macrophage,endothelial--stroma,macrophage--Tcell,macrophage--basal_like_2,macrophage--endothelial,macrophage--stroma,mesenchymal--endothelial,stroma--Bcell,stroma--Tcell,stroma--basal_like_2,stroma--endothelial,stroma--macrophage,stroma--stroma	0.02528480584366799,0.015604219238773009,0.03490025496226107,0.01859719884570887,0.01742045016964465,0.02760912637604963,0.01939220029249865,0.02328892128854054,0.05208778974000148,0.01741947810974629,0.02775587124723755,0.01533931323720536,0.01842163618430297,0.04120166410227532,0.02195501267577207,0.01591684935177895,0.01611857529798737,0.02238147388525179,0.02687886757423717,0.060117030982672376,0.02010466004514268,0.032034390018277584
FBN1_ITGAV	25	Bcell--endothelial,Tcell--endothelial,Tcell--macrophage,Tcell--stroma,basal_like_2--endothelial,basal_like_2--stroma,endothelial--Bcell,endothelial--Tcell,endothelial--basal_like_2,endothelial--endothelial,endothelial--macrophage,endothelial--stroma,macrophage--Tcell,macrophage--basal_like_2,macrophage--endothelial,macrophage--macrophage,macrophage--stroma,stroma--Bcell,stroma--Tcell,stroma--basal_like_1,stroma--basal_like_2,stroma--endothelial,stroma--macrophage,stroma--mesenchymal,stroma--stroma	0.01548789295467846,0.02137771657368091,0.01679826562525184,0.01983656066383594,0.0169116265526528,0.01569243866058392,0.0157131746114988,0.01947538710497095,0.02025522702377808,0.03190572697005578,0.0250710067542763,0.0296055889030024,0.01540511436108355,0.016021971066822432,0.025237566272649968,0.01983127339731,0.02341814723988555,0.01813533286151657,0.02247748379866354,0.015403152926652931,0.02337753467036428,0.03682393870728051,0.028935658382450963,0.0168103448096756,0.03416923839974796
FBN1_ITGB1	25	Tcell--endothelial,Tcell--stroma,endothelial--Bcell,endothelial--Tcell,endothelial--basal_like_1,endothelial--basal_like_2,endothelial--endothelial,endothelial--luminal_ar,endothelial--macrophage,endothelial--mesenchymal,endothelial--stroma,macrophage--Tcell,macrophage--endothelial,macrophage--luminal_ar,macrophage--macrophage,macrophage--stroma,stroma--Bcell,stroma--Tcell,stroma--basal_like_1,stroma--basal_like_2,stroma--endothelial,stroma--luminal_ar,stroma--macrophage,stroma--mesenchymal,stroma--stroma	0.017351744100547142,0.01571094666787071,0.018317673793129933,0.01970806493135147,0.018476655367566867,0.01793614530982356,0.025897060044659782,0.01906678019961699,0.02144753000776325,0.01772473702600115,0.02344820940527044,0.015589163515298581,0.0204846850772996,0.015081904554172982,0.01696508781835877,0.01854763376480597,0.021141311014515832,0.022746028503042817,0.02132479931923765,0.02070097058605478,0.029889046335735237,0.02200589085698736,0.024753629063824858,0.02045697408683713,0.02706270967420766
FGF2_CD44	25	Bcell--Tcell,Tcell--Bcell,Tcell--Tcell,Tcell--basal_like_1,Tcell--basal_like_2,Tcell--endothelial,Tcell--luminal_ar,Tcell--macrophage,Tcell--mesenchymal,Tcell--stroma,basal_like_2--Tcell,basal_like_2--macrophage,basal_like_2--mesenchymal,endothelial--Bcell,endothelial--Tcell,endothelial--basal_like_1,endothelial--basal_like_2,endothelial--endothelial,endothelial--luminal_ar,endothelial--macrophage,endothelial--mesenchymal,endothelial--stroma,stroma--Tcell,stroma--macrophage,stroma--mesenchymal	0.01535107128738895,0.01745783204740721,0.03020557148474948,0.01614429469698813,0.01735457556848936,0.01934723039929124,0.01818499621296352,0.024623744689197168,0.024593711279042217,0.01796126110614991,0.022399609839115167,0.01826028267978573,0.01823801073998984,0.02586074554842406,0.04474430709326549,0.023914968140593868,0.0257077890117665,0.028659560996126886,0.02693791294276708,0.03647580032431693,0.036431311044327334,0.0266064882474301,0.02314572921123314,0.01886852321368767,0.0188455094071425
